No.;Time;;;;;time 2;time 1;delay;;delay 2;delay 1;jitter
560;9,683331;9,683331;;;;9,712616;9,683331;0,029285;;8E-05;0,029285;-0,029205
562;9,712616;9,712616;;;;9,712696;9,712616;8E-05;;0,003254;8E-05;0,003174
563;9,712696;9,712696;;;;9,71595;9,712696;0,003254;;0,000157;0,003254;-0,003097
565;9,71595;9,71595;;;;9,716107;9,71595;0,000157;;9,5E-05;0,000157;-6,2E-05
566;9,716107;9,716107;;;;9,716202;9,716107;9,5E-05;;0,000531;9,5E-05;0,000436
567;9,716202;9,716202;;;;9,716733;9,716202;0,000531;;0,00274;0,000531;0,002209
568;9,716733;9,716733;;;;9,719473;9,716733;0,00274;;6,4E-05;0,00274;-0,002676
569;9,719473;9,719473;;;;9,719537;9,719473;6,4E-05;;0,012962;6,4E-05;0,012898
570;9,719537;9,719537;;;;9,732499;9,719537;0,012962;;0,032266;0,012962;0,019304
571;9,732499;9,732499;;;;9,764765;9,732499;0,032266;;0,019757;0,032266;-0,012509
580;9,764765;9,764765;;;;9,784522;9,764765;0,019757;;0,202353;0,019757;0,182596
584;9,784522;9,784522;;;;9,986875;9,784522;0,202353;;0,046762;0,202353;-0,155591
596;9,986875;9,986875;;;;10,033637;9,986875;0,046762;;0,147408;0,046762;0,100646
598;10,033637;10,033637;;;;10,181045;10,033637;0,147408;;0;0,147408;-0,147408
657;10,181045;10,181045;;;;10,181045;10,181045;0;;0,000285;0;0,000285
658;10,181045;10,181045;;;;10,18133;10,181045;0,000285;;0,000826;0,000285;0,000541
659;10,18133;10,18133;;;;10,182156;10,18133;0,000826;;0,000346;0,000826;-0,00048
660;10,182156;10,182156;;;;10,182502;10,182156;0,000346;;0,001881;0,000346;0,001535
661;10,182502;10,182502;;;;10,184383;10,182502;0,001881;;0,003363;0,001881;0,001482
662;10,184383;10,184383;;;;10,187746;10,184383;0,003363;;0,100248;0,003363;0,096885
663;10,187746;10,187746;;;;10,287994;10,187746;0,100248;;0;0,100248;-0,100248
692;10,287994;10,287994;;;;10,287994;10,287994;0;;0,003032;0;0,003032
693;10,287994;10,287994;;;;10,291026;10,287994;0,003032;;0;0,003032;-0,003032
697;10,291026;10,291026;;;;10,291026;10,291026;0;;0,000277;0;0,000277
698;10,291026;10,291026;;;;10,291303;10,291026;0,000277;;0;0,000277;-0,000277
699;10,291303;10,291303;;;;10,291303;10,291303;0;;0,024278;0;0,024278
700;10,291303;10,291303;;;;10,315581;10,291303;0,024278;;0;0,024278;-0,024278
706;10,315581;10,315581;;;;10,315581;10,315581;0;;0,000475;0;0,000475
722;10,315581;10,315581;;;;10,316056;10,315581;0,000475;;0,001104;0,000475;0,000629
726;10,316056;10,316056;;;;10,31716;10,316056;0,001104;;0,003663;0,001104;0,002559
727;10,31716;10,31716;;;;10,320823;10,31716;0,003663;;0,005092;0,003663;0,001429
731;10,320823;10,320823;;;;10,325915;10,320823;0,005092;;0,003755;0,005092;-0,001337
740;10,325915;10,325915;;;;10,32967;10,325915;0,003755;;0,058629;0,003755;0,054874
745;10,32967;10,32967;;;;10,388299;10,32967;0,058629;;0;0,058629;-0,058629
776;10,388299;10,388299;;;;10,388299;10,388299;0;;0,046449;0;0,046449
777;10,388299;10,388299;;;;10,434748;10,388299;0,046449;;0;0,046449;-0,046449
816;10,434748;10,434748;;;;10,434748;10,434748;0;;0;0;0
